nbr.val	nbr.null	nbr.na	min	max	range	sum	median	mean	SE.mean	CI.mean.0.95	var	std.dev	coef.var
6992760	0	0	-45.90998914268086	89	134.90998914268084	282085960.3287505	42.43884367539067	40.339717125820094	0.004631302375086476	0.009077187427839159	149.98744134373962	12.246935998189082	0.30359498952337055
6992760	0	0	-162.27791939754582	174.83122052103286	337.10913991857865	-298625441.13309294	-75.68040469394077	-42.70494642074016	0.022173536979379772	0.04345934141175452	3438.100535258102	58.63531815602352	-1.3730334087843883
3589435	0	3403325	-646.0999755859375	5000	5646.0999755859375	355085300.53570884	42	98.92512346252481	0.08065917308098297	0.1580891275694957	23352.513070823414	152.81529069704843	1.54475713901877
													
													
													
													
													
6992760	0	0	1578584576	1601602104	23017528	11134452253201492	1592882270	1592282911.6402524	2505.675119428581	4911.033841080569	43903398956362.19	6625964.002042434	0.004161298192427911
6992760	0	0	1578584577	1601602108	23017531	11134452448775034	1592882270.5	1592282939.6082566	2505.670090936091	4911.023985414686	43903222742224.37	6625950.704783757	0.004161289768270654
													
6135622	536091	857138	0	49296455.51087722	49296455.51087722	67787397795.01018	0.597920590394117	11048.170469923056	47.2571541717925	92.62233846003907	13702308010.677526	117056.85802496805	10.595135035582347
3670091	2865561	3322669	-41500	129000	170500	867988.6707967826	0	0.23650331035300354	0.08083070524285776	0.15842532336830828	23978.917237776775	154.8512745758871	654.7530956110379
6135622	570999	857138	0	359.9999998981512	359.9999998981512	1011739630.8501959	168.0477571828689	164.896017200896	0.04516190245371125	0.08851571974394767	12514.198882521858	111.86688018587922	0.6784086243246836
2133249	642612	4859511	-26.5	360	386.5	2143022.8735099398	0	1.0045816843274948	0.010342461628292448	0.0202708638042466	228.1862058938733	15.105833505433367	15.036938997694136
2134105	643567	4858655	-90	90	180	-105989.93842327027	0	-0.049664818939682005	0.003693025870434614	0.007238201805198491	29.105863166286753	5.394985001488582	-108.62790032599935
2149525	1023233	4843235	-90	987.70001220703125	1077.7000122070312	-157571.40998677164	0	-0.07330522324084218	0.003084496166599947	0.006045504801120745	20.450831488419155	4.522259555622516	-61.69082305042253
3166009	24453	3826751	-179.89999389648438	179.9066162109375	359.8066101074219	-2459872.0167152807	0	-0.7769630524472055	0.05707600321382016	0.11186695344731049	10313.81299133874	101.55694457465103	-130.7101338406974
3169439	77354	3823321	-89.19999694824219	100	189.1999969482422	-3998089.4101205096	-0.10000000149011612	-1.2614501841242307	0.005529666732946081	0.01083795178194802	96.91261512536481	9.844420507341447	-7.80405015690413
3170882	118025	3821878	-179.89999389648438	179.89999389648438	359.79998779296875	840525.8194985874	0	0.26507634768451627	0.005230758198693286	0.010252101594631075	86.75796757947047	9.314395717354426	35.13853951405753
66178	0	6926582	1012	1012.9000244140625	0.9000244140625	66997580.59503174	1012.2999877929688	1012.384487216775	0.0011369705467988275	0.0022284620813421726	0.08554843456333293	0.29248663997408997	2.8890865443640664e-4
8960	0	6983800	1	2	1	8982	1	1.0024553571428572	5.228700156446185e-4	0.0010249448694279082	0.002449601757211424	0.049493451659905714	0.0493722252140676
6992760	0	0	18270	18537	267	128866633967	18436	18428.579554710872	0.029017178269153936	0.05687263418450703	5887.8803872917615	76.73252496361475	0.004163778588350274
6992760	104	0	0	0.999988425925926	0.999988425925926	4343449.377708334	0.664375	0.6211351995075383	9.935435385554862e-5	1.9473098896977752e-4	0.06902754528793341	0.26273093705906314	0.42298510415665885
													
													
													
													
													
													
6992760	0	0	1	1	0	6992760	1	1	0	0	0	0	0
